folder,song,env,selected,std,uniq,v_min,voicing,density,n,have_base,have_vel_aware
pianosonatano51stmov,PianoSonataNo51StMov,RoboPianist-repertoire-150-PianoSonataNo51StMov-v0,yes,30.37,42,20,4.09,3.8,175,,
wandererfantasy,WandererFantasy,RoboPianist-repertoire-150-WandererFantasy-v0,yes,28.62,60,21,1.46,12.57,705,,
humoreskeop101no7,HumoreskeOp101No7,RoboPianist-repertoire-150-HumoreskeOp101No7-v0,yes,28.21,52,40,5.17,11.59,284,,
pianosonatano5,PianoSonataNo5,RoboPianist-repertoire-150-PianoSonataNo5-v0,yes,25.93,61,25,6.53,12.3,385,,
golliwoggscakewalk,GolliwoggsCakewalk,RoboPianist-repertoire-150-GolliwoggsCakewalk-v0,yes,25.37,82,7,5.05,12.04,295,yes,
preludeop3no2,PreludeOp3No2,RoboPianist-repertoire-150-PreludeOp3No2-v0,yes,24.99,3,30,0.0,5.32,297,,
pianosonatano242ndmov,PianoSonataNo242NdMov,RoboPianist-repertoire-150-PianoSonataNo242NdMov-v0,yes,24.02,32,20,2.44,10.21,215,,
pianosonatano303rdmov,PianoSonataNo303RdMov,RoboPianist-repertoire-150-PianoSonataNo303RdMov-v0,yes,23.67,27,41,2.29,12.95,414,,
preludeop28no17,PreludeOp28No17,RoboPianist-repertoire-150-PreludeOp28No17-v0,yes,23.03,44,40,5.21,16.37,458,,
jeuxdeau,JeuxDeau,RoboPianist-repertoire-150-JeuxDeau-v0,yes,23.0,68,16,3.22,12.13,338,,
preludeop23no5,PreludeOp23No5,RoboPianist-repertoire-150-PreludeOp23No5-v0,yes,22.67,73,16,5.38,18.32,341,,
scherzono3,ScherzoNo3,RoboPianist-repertoire-150-ScherzoNo3-v0,yes,22.4,76,36,5.0,11.15,377,,
gymnopedieno1,GymnopedieNo1,RoboPianist-repertoire-150-GymnopedieNo1-v0,yes,22.2,22,34,3.35,1.87,58,,
holborgsuiteop40no5,HolborgSuiteOp40No5,RoboPianist-repertoire-150-HolborgSuiteOp40No5-v0,yes,20.51,10,55,1.24,6.29,374,,
etudeop10no12,EtudeOp10No12,RoboPianist-repertoire-150-EtudeOp10No12-v0,yes,20.33,94,9,5.48,13.54,2082,,
norwegiandanceop35no3,NorwegianDanceOp35No3,RoboPianist-repertoire-150-NorwegianDanceOp35No3-v0,yes,20.26,60,51,6.2,16.1,483,,
mazurkaop7no1,MazurkaOp7No1,RoboPianist-repertoire-150-MazurkaOp7No1-v0,yes,19.86,51,39,3.29,6.61,278,,
suitebergamasqueprelude,SuiteBergamasquePrelude,RoboPianist-repertoire-150-SuiteBergamasquePrelude-v0,yes,19.84,4,49,0.0,7.01,227,,
pianosonata1stmov,PianoSonata1StMov,RoboPianist-repertoire-150-PianoSonata1StMov-v0,yes,18.85,5,65,1.9500000000000002,14.18,507,,
